epoch,train_loss,train_err,test_err
0,4.6072611808776855,0.98998,0.9898
1,4.615394592285156,0.99,0.99
2,4.614833831787109,0.98996,0.9901
3,4.615347862243652,0.9898,0.9899
4,4.610447883605957,0.98984,0.9903
5,4.609587669372559,0.98994,0.99
6,4.599850654602051,0.9899,0.9896
7,4.612709999084473,0.98986,0.9895
8,4.603051662445068,0.9898,0.9896
9,4.620208263397217,0.98992,0.9895
10,4.598008155822754,0.98982,0.9895
11,4.607274055480957,0.98976,0.9897
12,4.608782768249512,0.98984,0.9896
13,4.602426528930664,0.98986,0.9896
14,4.6030592918396,0.98996,0.9901
15,4.609720230102539,0.98986,0.9902
16,4.606186389923096,0.98998,0.9899
17,4.602977752685547,0.98982,0.9897
18,4.614788055419922,0.98986,0.99
19,4.60253381729126,0.98992,0.9895
20,4.619398593902588,0.98996,0.99
21,4.614984035491943,0.98992,0.9896
22,4.611494064331055,0.98986,0.9896
23,4.607487678527832,0.98994,0.9895
24,4.606690406799316,0.98976,0.9894
25,4.613534927368164,0.99012,0.9901
26,4.610095024108887,0.98996,0.9897
27,4.599909782409668,0.98984,0.9896
28,4.6025848388671875,0.9898,0.9896
29,4.594477653503418,0.98994,0.9897
30,4.620182991027832,0.98984,0.9895
31,4.613217353820801,0.98982,0.9895
32,4.60914945602417,0.98986,0.9897
33,4.599084854125977,0.98992,0.9897
34,4.608158588409424,0.98998,0.9899
35,4.595477104187012,0.98984,0.9894
36,4.5958967208862305,0.98988,0.9897
37,4.615372657775879,0.98974,0.9896
38,4.605196952819824,0.98956,0.9894
39,4.604322910308838,0.9897,0.9898
40,4.613450527191162,0.99,0.99
41,4.617831707000732,0.98992,0.9894
42,4.607446193695068,0.9893,0.9894
43,4.623133182525635,0.98852,0.9885
44,4.613969326019287,0.98816,0.9871
45,4.632805824279785,0.98978,0.9894
46,4.604283809661865,0.98838,0.988
47,4.589943885803223,0.98696,0.9865
48,4.576142311096191,0.98636,0.9873
49,4.593913555145264,0.98554,0.9846
50,4.570403099060059,0.98866,0.9877
51,4.614137649536133,0.98906,0.9884
52,4.621940612792969,0.98722,0.9863
53,4.582940101623535,0.98954,0.9895
54,4.616456031799316,0.98564,0.9847
55,4.587170600891113,0.98736,0.9864
56,4.564177513122559,0.98814,0.9876
57,4.550038814544678,0.98256,0.9837
58,4.502816200256348,0.98318,0.985
59,4.560627460479736,0.98736,0.9896
60,4.522487640380859,0.98798,0.9882
61,4.593140125274658,0.9889,0.9899
62,4.572429180145264,0.98844,0.9881
63,4.429726600646973,0.98498,0.9855
64,4.56281042098999,0.98684,0.9869
65,4.500252723693848,0.98734,0.989
66,4.573991775512695,0.98274,0.9825
67,4.555465221405029,0.98526,0.9871
68,4.636142730712891,0.98476,0.9852
69,4.558534622192383,0.98954,0.9895
70,4.522056579589844,0.98538,0.9843
71,4.5100836753845215,0.98912,0.9889
72,4.5978617668151855,0.98914,0.9896
73,4.5386152267456055,0.98864,0.9883
74,4.48917293548584,0.98976,0.9891
75,4.483157157897949,0.98906,0.9879
76,4.488544464111328,0.98552,0.9862
77,4.5415496826171875,0.97862,0.9782
78,4.5483598709106445,0.98414,0.9841
79,4.511624813079834,0.98808,0.9879
80,4.412770748138428,0.98322,0.9828
81,4.553762435913086,0.98528,0.9838
82,4.588545799255371,0.98052,0.9798
83,4.386209487915039,0.98366,0.9844
84,4.539238452911377,0.98148,0.9817
85,4.374050140380859,0.97646,0.977
86,4.538018226623535,0.97702,0.9737
87,4.514405727386475,0.97558,0.9743
88,4.4838738441467285,0.97756,0.9764
89,4.580724716186523,0.97542,0.9752
90,4.517882347106934,0.98124,0.979
91,4.509020805358887,0.97706,0.9754
92,4.516049385070801,0.97362,0.9732
93,4.4943108558654785,0.97726,0.9765
94,4.51949405670166,0.98078,0.979
95,4.513949871063232,0.97148,0.9716
96,4.483443260192871,0.97524,0.9752
97,4.553044319152832,0.97384,0.9725
98,4.55964469909668,0.97596,0.9731
99,4.612858295440674,0.97572,0.9729
100,4.51818323135376,0.97184,0.9706
101,4.415174961090088,0.97598,0.9752
102,4.56596565246582,0.97354,0.9723
103,4.413362979888916,0.9788,0.9768
104,4.509430885314941,0.9776,0.9772
105,4.5979437828063965,0.97592,0.9745
106,4.550529479980469,0.97468,0.9742
107,4.4615044593811035,0.9739,0.9744
108,4.533844947814941,0.97796,0.9744
109,4.406796932220459,0.97132,0.971
110,4.462773323059082,0.97574,0.9778
111,4.512515068054199,0.9724,0.9715
112,4.479278087615967,0.98066,0.9767
113,4.605610370635986,0.9718,0.9716
114,4.432719707489014,0.972,0.9709
115,4.47268009185791,0.98208,0.9808
116,4.509952068328857,0.97254,0.9699
117,4.5543975830078125,0.9754,0.9751
118,4.476555824279785,0.97426,0.9729
119,4.560574531555176,0.97048,0.9731
120,4.500164031982422,0.97146,0.9715
121,4.468155860900879,0.9735,0.97
122,4.517041206359863,0.97884,0.9781
123,4.405783176422119,0.97038,0.9705
124,4.5790791511535645,0.9699,0.9701
125,4.510924816131592,0.96988,0.9728
126,4.496006965637207,0.97014,0.9725
127,4.429276943206787,0.96912,0.9687
128,4.531156539916992,0.96902,0.9709
129,4.513636589050293,0.9702,0.9716
130,4.529026985168457,0.9685,0.9709
131,4.497128486633301,0.96882,0.971
132,4.458183765411377,0.96976,0.9714
133,4.526214599609375,0.96886,0.9703
134,4.457798957824707,0.96894,0.9695
135,4.446192741394043,0.97068,0.9703
136,4.53664493560791,0.97012,0.9696
137,4.486006736755371,0.9684,0.9699
138,4.420742988586426,0.9686,0.9692
139,4.458605766296387,0.9701,0.9699
140,4.3935956954956055,0.97004,0.9705
141,4.564212322235107,0.96952,0.9696
142,4.555405616760254,0.96962,0.9688
143,4.480238914489746,0.96892,0.9708
144,4.4717512130737305,0.96976,0.9703
145,4.476325988769531,0.9699,0.9692
146,4.486024379730225,0.96902,0.9702
147,4.540689945220947,0.96946,0.9706
148,4.423253059387207,0.96924,0.9703
149,4.532106399536133,0.97054,0.97
150,4.557839393615723,0.97034,0.9696
151,4.511683940887451,0.97022,0.9696
152,4.48714542388916,0.97024,0.9695
153,4.500916481018066,0.9685,0.97
154,4.446068286895752,0.97004,0.971
155,4.489361763000488,0.97048,0.9703
156,4.544382095336914,0.96858,0.9706
157,4.602026462554932,0.96942,0.9699
158,4.4741411209106445,0.96906,0.9697
159,4.492245674133301,0.9701,0.968
160,4.448919773101807,0.9689,0.9697
161,4.48067569732666,0.96876,0.9689
162,4.488348484039307,0.96982,0.9694
163,4.455107688903809,0.96942,0.9699
