epoch,train_loss,train_err,test_err
0,1.9795496463775635,0.77002,0.7537
1,1.9222824573516846,0.7051,0.6808
2,1.6734689474105835,0.68512,0.6662
3,1.7316863536834717,0.66994,0.6518
4,1.8528871536254883,0.61448,0.5991
5,1.478187918663025,0.5854,0.5757
6,1.6671876907348633,0.56148,0.5482
7,1.5044591426849365,0.6029,0.5887
8,1.2870572805404663,0.51754,0.4994
9,1.162387728691101,0.49746,0.4896
10,1.252651333808899,0.53806,0.5301
11,1.2341597080230713,0.44608,0.4395
12,1.0149167776107788,0.41254,0.403
13,1.0222649574279785,0.46536,0.4712
14,0.9341411590576172,0.38654,0.3877
15,0.8006294369697571,0.36334,0.3506
16,0.8890089988708496,0.36148,0.3574
17,1.0949122905731201,0.33572,0.3413
18,0.7436590194702148,0.31564,0.3314
19,0.8656113743782043,0.44978,0.4466
20,0.868382453918457,0.31994,0.321
21,0.8384755849838257,0.30502,0.3025
22,1.0353291034698486,0.30754,0.3118
23,0.7624021768569946,0.26112,0.2599
24,0.6883201599121094,0.284,0.2931
25,0.6156914234161377,0.29178,0.2995
26,0.8803764581680298,0.24648,0.2537
27,0.8223937749862671,0.27368,0.2776
28,0.7089858055114746,0.24592,0.2561
29,0.5907999277114868,0.23146,0.2343
30,0.6977386474609375,0.28412,0.2989
31,0.7087070345878601,0.23114,0.2421
32,0.40762338042259216,0.39894,0.3794
33,0.5114802122116089,0.28278,0.2853
34,0.5352479219436646,0.25638,0.2652
35,0.8137491345405579,0.27344,0.2847
36,0.6060788035392761,0.25554,0.2673
37,0.4660794138908386,0.21194,0.2264
38,0.7034780383110046,0.21464,0.2192
39,0.6786867380142212,0.23146,0.2449
40,0.5331076383590698,0.28002,0.2845
41,0.5345106720924377,0.18598,0.2006
42,0.5978398323059082,0.23954,0.2531
43,0.676003634929657,0.19158,0.2099
44,0.4757251739501953,0.20752,0.2165
45,0.6291090250015259,0.21924,0.2401
46,0.6635979413986206,0.27632,0.2808
47,0.5487600564956665,0.2339,0.2428
48,0.46435943245887756,0.23018,0.2395
49,0.3444705605506897,0.21464,0.2252
50,0.46695977449417114,0.23356,0.2584
51,0.46868896484375,0.18296,0.2085
52,0.48684653639793396,0.236,0.2544
53,0.6058487892150879,0.27636,0.2734
54,0.4244577884674072,0.2869,0.2921
55,0.525915265083313,0.18662,0.214
56,0.4760209023952484,0.21306,0.2294
57,0.3313116431236267,0.179,0.1979
58,0.5739531517028809,0.2026,0.2235
59,0.5618302226066589,0.21558,0.2275
60,0.4469218850135803,0.198,0.2091
61,0.3512505888938904,0.20054,0.2116
62,0.45201238989830017,0.29744,0.3057
63,0.3964185118675232,0.2117,0.2211
64,0.5306379795074463,0.25892,0.262
65,0.493805468082428,0.17758,0.1994
66,0.3307948410511017,0.2102,0.2207
67,0.477612167596817,0.21862,0.2309
68,0.6520087718963623,0.21036,0.2271
69,0.4301512837409973,0.17722,0.1956
70,0.46307212114334106,0.1867,0.2045
71,0.498502254486084,0.20554,0.2301
72,0.3832848072052002,0.19102,0.2106
73,0.5216826796531677,0.22382,0.2322
74,0.4253748059272766,0.16734,0.1852
75,0.6039302349090576,0.22172,0.2391
76,0.40117698907852173,0.22148,0.2433
77,0.46965140104293823,0.30006,0.3064
78,0.31953054666519165,0.16162,0.1899
79,0.42444339394569397,0.25142,0.2622
80,0.5914077758789062,0.20422,0.2251
81,0.49808210134506226,0.22248,0.2534
82,0.6109825968742371,0.15068,0.1789
83,0.3069095313549042,0.07586,0.1192
84,0.2030452936887741,0.0711,0.1154
85,0.18871331214904785,0.06858,0.1165
86,0.17244146764278412,0.0658,0.1182
87,0.19315798580646515,0.06268,0.1143
88,0.32913345098495483,0.06112,0.1131
89,0.24971480667591095,0.05894,0.114
90,0.2514403760433197,0.05776,0.1129
91,0.1855618953704834,0.0534,0.113
92,0.12172985076904297,0.05408,0.1111
93,0.22866427898406982,0.05154,0.1101
94,0.13731780648231506,0.0516,0.1126
95,0.18543598055839539,0.05014,0.1095
96,0.18112386763095856,0.05002,0.1121
97,0.22320213913917542,0.04772,0.113
98,0.15497851371765137,0.04858,0.1121
99,0.25006309151649475,0.04524,0.1113
100,0.22749567031860352,0.0449,0.1154
101,0.16706278920173645,0.04298,0.1113
102,0.1401257961988449,0.04364,0.1102
103,0.07299957424402237,0.04164,0.112
104,0.22299161553382874,0.0448,0.1123
105,0.16242259740829468,0.0475,0.1155
106,0.30760371685028076,0.0418,0.1126
107,0.19982388615608215,0.04064,0.1147
108,0.14731362462043762,0.04022,0.1158
109,0.06966034322977066,0.04006,0.1115
110,0.24401016533374786,0.04102,0.1152
111,0.21752333641052246,0.04022,0.1133
112,0.15364286303520203,0.03792,0.1091
113,0.10833019018173218,0.03564,0.1113
114,0.15461578965187073,0.03814,0.1156
115,0.09924881160259247,0.03626,0.1149
116,0.2789764702320099,0.0374,0.1153
117,0.13616153597831726,0.03998,0.1147
118,0.14227011799812317,0.03714,0.1144
119,0.12159707397222519,0.03678,0.1144
120,0.11760308593511581,0.03942,0.115
121,0.11931655555963516,0.03612,0.1152
122,0.05800493806600571,0.03364,0.1119
123,0.07027970999479294,0.03246,0.1144
124,0.044492967426776886,0.02318,0.1107
125,0.06840799748897552,0.02368,0.1092
126,0.10811305046081543,0.02056,0.1089
127,0.19664132595062256,0.02024,0.1079
128,0.06689954549074173,0.0201,0.1071
129,0.04196900129318237,0.0204,0.1065
130,0.022340768948197365,0.0192,0.109
131,0.09650282561779022,0.01898,0.1066
132,0.02931206300854683,0.0194,0.108
133,0.11202061176300049,0.02072,0.1066
134,0.04170926287770271,0.01974,0.1069
135,0.13524465262889862,0.0184,0.1077
136,0.030453592538833618,0.01934,0.1066
137,0.04715709760785103,0.01768,0.1074
138,0.054109878838062286,0.01858,0.1074
139,0.07654775679111481,0.0179,0.1089
140,0.030917763710021973,0.01734,0.107
141,0.05069626495242119,0.01756,0.1086
142,0.07216683030128479,0.01854,0.1087
143,0.17911913990974426,0.01734,0.1078
144,0.04001873731613159,0.01842,0.1077
145,0.03320152685046196,0.0181,0.1074
146,0.051651258021593094,0.0169,0.1081
147,0.032141078263521194,0.01636,0.1079
148,0.12768062949180603,0.01594,0.1077
149,0.07433804869651794,0.01552,0.1063
150,0.0194486565887928,0.01668,0.1065
151,0.19266393780708313,0.01642,0.1086
152,0.048001497983932495,0.01548,0.1085
153,0.062200188636779785,0.01522,0.1077
154,0.16319333016872406,0.01568,0.1089
155,0.040307365357875824,0.0152,0.1071
156,0.1165866032242775,0.01564,0.1086
157,0.038124095648527145,0.01508,0.1074
158,0.04726792126893997,0.01508,0.1086
159,0.05432470515370369,0.0151,0.1073
160,0.03516187146306038,0.01458,0.1088
161,0.05395115539431572,0.01482,0.1091
162,0.025013869628310204,0.01484,0.1083
163,0.06821523606777191,0.01398,0.1078
