epoch,train_loss,train_err,test_err
0,1.285578966140747,0.5474,0.5625
1,0.9349196553230286,0.44034,0.4509
2,0.9659310579299927,0.33164,0.3284
3,0.7505530118942261,0.2824,0.2857
4,0.4998951554298401,0.24788,0.25
5,0.6104984879493713,0.23124,0.2481
6,0.43119844794273376,0.18886,0.2026
7,0.6369539499282837,0.22086,0.2375
8,0.7701985239982605,0.18338,0.1969
9,0.4706898331642151,0.2012,0.2215
10,0.5374743342399597,0.16904,0.1854
11,0.486232191324234,0.1871,0.2176
12,0.3796740174293518,0.16458,0.1843
13,0.35115328431129456,0.14762,0.1662
14,0.4283670485019684,0.17642,0.2051
15,0.311328649520874,0.15768,0.1859
16,0.4097020626068115,0.13608,0.1591
17,0.6741164922714233,0.14818,0.1776
18,0.3413001596927643,0.1472,0.1803
19,0.1958625316619873,0.20306,0.2371
20,0.26670917868614197,0.14506,0.1739
21,0.42765894532203674,0.13476,0.1646
22,0.2970585823059082,0.13168,0.1588
23,0.3500829339027405,0.11794,0.1551
24,0.3927236497402191,0.12204,0.1551
25,0.3852878510951996,0.10918,0.1472
26,0.27256911993026733,0.13976,0.1766
27,0.2882278263568878,0.14246,0.1733
28,0.35891401767730713,0.1225,0.1585
29,0.29191213846206665,0.12922,0.1661
30,0.3226899802684784,0.10778,0.1438
31,0.3230699598789215,0.17582,0.2002
32,0.3181960880756378,0.14948,0.1853
33,0.309439480304718,0.10982,0.1451
34,0.24278123676776886,0.12202,0.1672
35,0.2317943572998047,0.11338,0.1508
36,0.3079550564289093,0.1106,0.1464
37,0.3428656756877899,0.1432,0.1811
38,0.22494927048683167,0.10326,0.147
39,0.17426975071430206,0.12914,0.164
40,0.21566089987754822,0.09692,0.139
41,0.4217650294303894,0.14852,0.1849
42,0.4292528033256531,0.1328,0.1692
43,0.2818436026573181,0.12172,0.1571
44,0.26612815260887146,0.1552,0.2021
45,0.2373235672712326,0.11606,0.1596
46,0.23538832366466522,0.12692,0.1681
47,0.2665279805660248,0.1211,0.1624
48,0.3864290416240692,0.1115,0.1497
49,0.27098384499549866,0.09894,0.136
50,0.09819744527339935,0.14206,0.1763
51,0.25195375084877014,0.11544,0.1601
52,0.22282452881336212,0.10098,0.144
53,0.24987289309501648,0.08754,0.1232
54,0.1951240599155426,0.13488,0.1763
55,0.304514080286026,0.14364,0.1749
56,0.3653026819229126,0.09482,0.1368
57,0.2123490273952484,0.10582,0.1477
58,0.3026152551174164,0.12038,0.1593
59,0.20716652274131775,0.14418,0.186
60,0.2689901292324066,0.10282,0.1478
61,0.2335246354341507,0.08906,0.1366
62,0.35374364256858826,0.0847,0.1301
63,0.31509798765182495,0.11156,0.1534
64,0.15333512425422668,0.12386,0.1687
65,0.2022302895784378,0.10596,0.1475
66,0.23203468322753906,0.12336,0.1638
67,0.19882139563560486,0.08822,0.135
68,0.21854642033576965,0.10554,0.1515
69,0.2686988413333893,0.0948,0.1394
70,0.3108774721622467,0.09492,0.1354
71,0.2622759938240051,0.10066,0.1352
72,0.4267679750919342,0.1062,0.1478
73,0.19832465052604675,0.08714,0.1351
74,0.39728355407714844,0.08142,0.1259
75,0.22959113121032715,0.09148,0.1416
76,0.2681676745414734,0.09978,0.1493
77,0.29112404584884644,0.0828,0.1357
78,0.10128375142812729,0.0796,0.1255
79,0.29218196868896484,0.1046,0.152
80,0.42280420660972595,0.10084,0.1497
81,0.42210179567337036,0.09514,0.1359
82,0.09421656280755997,0.03542,0.0922
83,0.10724148899316788,0.03206,0.0896
84,0.09977102279663086,0.02814,0.0875
85,0.03988967463374138,0.0259,0.0881
86,0.12616188824176788,0.0241,0.0883
87,0.07839347422122955,0.0236,0.0881
88,0.1895189881324768,0.02296,0.0868
89,0.08006595820188522,0.0227,0.0868
90,0.06473042815923691,0.02084,0.0871
91,0.14187631011009216,0.01936,0.089
92,0.036636896431446075,0.01884,0.0856
93,0.04307613521814346,0.01898,0.0867
94,0.04647956043481827,0.0172,0.0876
95,0.0770282968878746,0.01814,0.088
96,0.026816124096512794,0.0167,0.0872
97,0.027369970455765724,0.01652,0.0897
98,0.028419870883226395,0.01568,0.0887
99,0.05385145545005798,0.01596,0.088
100,0.09490485489368439,0.01518,0.0893
101,0.052744440734386444,0.0147,0.0878
102,0.06784430146217346,0.01378,0.0922
103,0.09528074413537979,0.01366,0.0894
104,0.012940341606736183,0.01188,0.0903
105,0.02559274435043335,0.01302,0.0886
106,0.05545930191874504,0.01246,0.0909
107,0.06596211344003677,0.01144,0.0899
108,0.023287296295166016,0.01162,0.0904
109,0.09256920218467712,0.01112,0.0898
110,0.06614629924297333,0.01132,0.0895
111,0.09136109054088593,0.01196,0.0891
112,0.0725254938006401,0.01004,0.0884
113,0.023913074284791946,0.01086,0.0889
114,0.08347101509571075,0.01258,0.0921
115,0.04099269583821297,0.0102,0.0885
116,0.035043179988861084,0.01034,0.0867
117,0.0701272040605545,0.00902,0.0893
118,0.0604938343167305,0.0097,0.089
119,0.05005374550819397,0.00868,0.0883
120,0.11833441257476807,0.00862,0.0875
121,0.008773582987487316,0.00916,0.0861
122,0.014134985394775867,0.00934,0.0898
123,0.04124186560511589,0.00674,0.0894
124,0.026525776833295822,0.00628,0.089
125,0.029697012156248093,0.006,0.0878
126,0.029751796275377274,0.00578,0.0865
127,0.011712217703461647,0.00548,0.0885
128,0.01102783065289259,0.00588,0.0879
129,0.047584615647792816,0.00504,0.0869
130,0.02542455866932869,0.00524,0.0876
131,0.03222600743174553,0.00524,0.0871
132,0.03801964223384857,0.00514,0.0863
133,0.02182411588728428,0.00486,0.0865
134,0.034522730857133865,0.00518,0.0869
135,0.009459870867431164,0.00438,0.086
136,0.029850255697965622,0.0049,0.0873
137,0.03546961024403572,0.00478,0.0869
138,0.039542101323604584,0.00468,0.0877
139,0.03089861199259758,0.00448,0.0884
140,0.03537925332784653,0.00452,0.0865
141,0.013426440767943859,0.00458,0.0867
142,0.04656101018190384,0.00436,0.0865
143,0.01572534441947937,0.00484,0.0858
